Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
883,647,278734,833,48.23,0.19
884,666,98247765,762,44.12,0.17
885,291,8171765,333,19.28,0.07
886,765,148939890,765,44.30,0.17
887,877,386003,1129,65.37,0.25
888,660,95614310,660,38.22,0.15
889,965,620173,965,55.88,0.22
890,610,186965,610,35.32,0.14
891,998,663766,1427,82.63,0.32
892,535,143915,535,30.98,0.12
893,748,281192,1069,61.90,0.24
894,672,100929232,864,50.03,0.19
895,769,297492,1209,70.01,0.27
896,527,184877,679,39.32,0.15
897,1015,516635,1015,58.77,0.23
898,185,22693,185,10.71,0.04
899,506,170353,579,33.53,0.13
900,952,454713,1224,70.87,0.28
901,233,36139,335,19.40,0.08
902,580,169070,580,33.58,0.13
903,545,197653,545,31.56,0.12
904,206,28153,236,13.67,0.05
905,830,458713,830,48.06,0.19
906,219,3477401,347,20.09,0.08
907,453,30884225,648,37.52,0.15
908,1019,692437,1603,92.82,0.36
909,502,126824,646,37.41,0.15
910,286,41325,327,18.93,0.07
911,509,172819,801,46.38,0.18
912,605,243613,605,35.03,0.14
913,697,244047,897,51.94,0.20
914,408,22556117,585,33.87,0.13
915,524,183151,824,47.71,0.19
916,888,233015281,1269,73.48,0.29
917,1073,767299,1535,88.88,0.35
918,301,45750,344,19.92,0.08
919,800,426133,800,46.32,0.18
920,291,8171765,333,19.28,0.08
921,163,13598,235,13.61,0.05
922,698,324637,998,57.79,0.23
923,726,127288975,830,48.06,0.19
924,164,17965,260,15.06,0.06
925,623,258604,890,51.53,0.20
926,395,103753,395,22.87,0.09
927,591,68633815,676,39.14,0.15
928,538,145757,769,44.53,0.18
929,480,36748880,480,27.79,0.11
930,998,663766,1427,82.63,0.33
931,742,276498,954,55.24,0.22
932,965,620173,965,55.88,0.22
933,830,458713,830,48.06,0.19
934,539,193783,847,49.04,0.19
935,424,90888,668,38.68,0.15
936,560,208693,560,32.43,0.13
937,658,217748,940,54.43,0.21
938,777,156064187,999,57.85,0.23
939,832,347476,1070,61.96,0.24
940,1060,563390,1060,61.38,0.24
941,315,10369065,315,18.24,0.07
942,241,29400,276,15.98,0.06
943,918,257452731,1314,76.09,0.30
944,912,252434587,1174,67.98,0.27
945,901,407250,1030,59.64,0.23
946,342,13275520,440,25.48,0.10
947,701,327133,802,46.44,0.18
948,875,509833,875,50.67,0.20
949,895,401855,895,51.82,0.20
950,753,142036204,1077,62.36,0.25
951,1066,569775,1219,70.58,0.28
952,959,613303,1507,87.26,0.34
953,704,330547,1108,64.16,0.25
954,1044,378753834,1644,95.19,0.37
955,375,17507875,375,21.71,0.09
956,227,34234,293,16.97,0.07
957,692,318880,890,51.53,0.20
958,866,499393,990,57.32,0.23
959,1017,350107142,1309,75.80,0.30
960,424,90888,668,38.68,0.15
961,116,8893,133,7.70,0.03
962,659,289651,1039,60.16,0.23
963,642,87997213,826,47.83,0.19
964,198,2567982,285,16.50,0.06
965,1098,440648916,1569,90.85,0.35
966,966,300009815,1104,63.93,0.25
967,659,289651,1039,60.16,0.23
968,1008,340890072,1440,83.38,0.32
969,643,207962,919,53.21,0.21
